LEA,District,In-District FTE Pupils,Out-of-District FTE Pupils,Total FTE Pupils,Administration,Instructional Leadership,Teachers,Other Teaching Services,Professional Development,"Instructional Materials, Equipment and Technology","Guidance, Counseling and Testing",Pupil Services,Operations and Maintenance,"Insurance, Retirement Programs and Other","Total
In-District Expenditures",Instructional Services,Total Expenditures,year
0141,Hudson,2609.9,203.7,2813.6,689.2289628,1015.695007,7103.471708,1803.317169,414.2449864,456.1734702,753.8436185,1234.243431,1283.562313,2183.885252,16937.66592,11546.74596,17984.65031,2020-21
0142,Hull,854.7,64,918.7,1165.300105,1261.642682,8051.545911,1339.72622,219.1107991,536.5648766,961.3735814,1847.979408,2160.0936,4477.585118,22020.9223,12369.96407,23429.26558,2020-21
0144,Ipswich,1679.6,60.7,1740.3,621.1163372,1286.085973,7298.263664,1747.559848,182.9774946,894.3237199,672.0135747,1249.364134,1090.727554,2836.059776,17878.49208,12081.22427,18673.80468,2020-21
0145,Kingston,1073.5,40.4,1113.9,379.7081975,715.8053377,5150.42762,870.4702469,26.85034001,348.4776609,695.3468374,1184.229613,1114.27347,1481.026362,11966.61569,7807.378043,15399.45145,2020-21
0148,Lanesborough,,,,,,,,,,,,,,,#¡VALOR!,,2020-21
0149,Lawrence,13586.7,2157.4,15744.1,409.449756,1546.65489,5717.250262,1189.221665,198.2300338,433.8354376,382.6407443,1924.806318,1569.04252,2602.265745,15973.39737,9467.833033,16379.54568,2020-21
0150,Lee,711.5,113.9,825.4,512.4403795,1113.60371,6857.081265,2383.363036,33.49010541,464.8355446,623.3104708,1316.044483,1340.482811,4096.776922,18741.42873,11475.68413,17479.21399,2020-21
0151,Leicester,1488.3,166.9,1655.2,483.7024793,827.0921588,5836.032433,1128.970606,76.05716589,165.9529396,564.591319,1245.205859,1159.85474,2041.649741,13529.10944,8598.696622,14485.65441,2020-21
0152,Lenox,781.1,40,821.1,620.3725515,897.7250032,8098.535399,1509.638971,271.682243,608.0962745,697.7774933,1380.225323,1515.93522,3752.629471,19352.61795,12083.45538,19192.33696,2020-21
0153,Leominster,6061.1,440.4,6501.5,327.030572,789.9762419,5467.050865,1491.714045,42.92818135,263.6262395,449.9602382,1211.157711,829.6452789,2870.135124,13743.2245,8505.255812,14505.62578,2020-21
0154,Leverett,141.8,12.3,154.1,856.5655853,1316.748942,7134.047955,2385.747532,144.8589563,460.5430183,362.122708,1278.624824,1457.574048,3686.006982,19082.84055,11804.06911,18644.81369,2020-21
0155,Lexington,7212,125.7,7337.7,506.5309207,1796.606073,7889.175957,2134.55893,191.8761786,272.1937049,859.1546034,1912.613977,85.45507488,2715.077371,18363.24279,13143.56545,19481.42252,2020-21
0157,Lincoln,1132.4,37.5,1169.9,1217.482338,2180.460085,9880.63686,2494.506358,254.8993289,899.7167079,676.7988343,1780.063785,2073.995055,3565.857471,25024.41682,16387.01817,26035.20866,2020-21
0158,Littleton,1667.2,115.4,1782.6,668.7020154,987.7399232,5655.008997,1255.43726,117.4424184,443.4866843,593.1621881,998.7254079,1584.140475,2552.808901,14856.65427,9052.277471,16634.90912,2020-21
0159,Longmeadow,2862.6,45.5,2908.1,524.0095473,779.4260707,6626.683833,1457.313844,173.8046566,386.0012052,527.2700063,932.6073954,1289.444313,2246.623524,14943.1844,9950.499616,15532.39449,2020-21
0160,Lowell,14458.8,2246.5,16705.3,370.7929987,1055.778477,5823.003723,1355.134411,288.2287341,670.703122,511.6514524,1372.312108,804.3339081,2776.403474,15028.34241,9704.49992,15234.84835,2020-21
