district_name,district_code,first_language_not_english_number,first_language_not_english_percent,english_language_learner_number,english_language_learner_percent,students_with_disabilities_number,students_with_disabilities_percent,low_income_number,low_income_percent,free_lunch_number,free_lunch_percent,reduced_lunch_number,reduced_lunch_percent,high_needs_number,high_needs_number_2,economically_disadvantaged_number,economically_disadvantaged_percent,year
Mashpee,01720000,135,9.2,66,4.5,229,15.4,NA,NA,NA,NA,NA,NA,669,45,515,35.1,2020-21
MATCH Charter Public School (District),04690000,690,56.9,219,18.1,271,22.3,NA,NA,NA,NA,NA,NA,1014,83.6,839,69.2,2020-21
Mattapoisett,01730000,3,0.7,2,0.5,66,16.1,NA,NA,NA,NA,NA,NA,121,29.5,76,18.8,2020-21
Maynard,01740000,129,10.9,60,5.1,232,19.3,NA,NA,NA,NA,NA,NA,433,36,237,20.1,2020-21
Medfield,01750000,81,3.2,21,0.8,314,12.4,NA,NA,NA,NA,NA,NA,455,18,158,6.3,2020-21
Medford,01760000,1055,26.8,410,10.4,773,19.5,NA,NA,NA,NA,NA,NA,2001,50.4,1350,34.2,2020-21
Medway,01770000,49,2.4,31,1.5,359,17,NA,NA,NA,NA,NA,NA,544,25.8,231,11.1,2020-21
Melrose,01780000,507,13.7,199,5.4,624,16.7,NA,NA,NA,NA,NA,NA,1108,29.6,475,12.8,2020-21
Mendon-Upton,07100000,111,5.1,46,2.1,349,15.9,NA,NA,NA,NA,NA,NA,575,26.3,233,10.8,2020-21
Methuen,01810000,1775,27.5,691,10.7,1289,19.6,NA,NA,NA,NA,NA,NA,3710,56.3,2702,41.9,2020-21
Middleborough,01820000,73,2.5,42,1.4,562,19.1,NA,NA,NA,NA,NA,NA,1282,43.5,956,32.8,2020-21
Middleton,01840000,22,3.2,10,1.5,108,15.8,NA,NA,NA,NA,NA,NA,167,24.5,62,9.1,2020-21
Milford,01850000,1709,40.4,940,22.2,732,17.1,NA,NA,NA,NA,NA,NA,2589,60.3,1948,46,2020-21
Millbury,01860000,141,8.9,73,4.6,307,19.1,NA,NA,NA,NA,NA,NA,717,44.5,465,29.3,2020-21
Millis,01870000,59,5.1,26,2.2,160,13.7,NA,NA,NA,NA,NA,NA,308,26.3,164,14.2,2020-21
Milton,01890000,418,9.6,91,2.1,706,16,NA,NA,NA,NA,NA,NA,1161,26.4,495,11.4,2020-21
Minuteman Regional Vocational Technical,08300000,23,3.6,6,0.9,280,44.1,NA,NA,NA,NA,NA,NA,346,54.5,113,17.8,2020-21
Mohawk Trail,07170000,7,0.9,6,0.8,180,24.1,NA,NA,NA,NA,NA,NA,380,50.8,277,37.5,2020-21
Monomoy Regional School District,07120000,174,9.9,78,4.4,299,16.9,NA,NA,NA,NA,NA,NA,768,43.3,562,31.9,2020-21
Monson,01910000,18,2.1,4,0.5,170,19.5,NA,NA,NA,NA,NA,NA,380,43.6,284,33.1,2020-21
Montachusett Regional Vocational Technical,08320000,91,6.4,15,1.1,204,14.4,NA,NA,NA,NA,NA,NA,558,39.4,395,27.9,2020-21
Mount Greylock,07150000,12,1.1,8,0.7,156,14.2,NA,NA,NA,NA,NA,NA,313,28.5,216,19.8,2020-21
Mystic Valley Regional Charter (District),04700000,756,46.4,28,1.7,186,11.4,NA,NA,NA,NA,NA,NA,543,33.3,350,21.5,2020-21
Nahant,01960000,0,0,0,0,31,21.1,NA,NA,NA,NA,NA,NA,56,38.1,33,22.4,2020-21
Nantucket,01970000,666,40,271,16.3,267,16,NA,NA,NA,NA,NA,NA,867,51.9,482,28.9,2020-21
Narragansett,07200000,17,1.3,6,0.5,252,18.8,NA,NA,NA,NA,NA,NA,576,42.9,431,32.5,2020-21
Nashoba,07250000,222,7.2,92,3,541,17.4,NA,NA,NA,NA,NA,NA,825,26.5,316,10.2,2020-21
Nashoba Valley Regional Vocational Technical,08520000,23,3.2,2,0.3,244,33.6,NA,NA,NA,NA,NA,NA,364,50.1,179,24.7,2020-21
Natick,01980000,556,10.6,158,3,787,14.8,NA,NA,NA,NA,NA,NA,1353,25.5,561,10.7,2020-21
Nauset,06600000,86,6,35,2.5,256,17.7,NA,NA,NA,NA,NA,NA,541,37.4,339,23.8,2020-21
Needham,01990000,570,10.4,175,3.2,968,17.4,NA,NA,NA,NA,NA,NA,1420,25.5,351,6.4,2020-21
Neighborhood House Charter (District),04440000,180,22.2,73,9,165,20.4,NA,NA,NA,NA,NA,NA,543,67,424,52.3,2020-21
New Bedford,02010000,5294,42.1,3308,26.3,2816,22.2,NA,NA,NA,NA,NA,NA,10659,84.1,9292,74,2020-21
New Heights Charter School of Brockton (District),35130000,122,16.4,77,10.4,69,9.3,NA,NA,NA,NA,NA,NA,489,65.9,383,51.6,2020-21
New Salem-Wendell,07280000,0,0,0,0,21,16.3,NA,NA,NA,NA,NA,NA,49,38,36,27.9,2020-21
Newburyport,02040000,125,5.9,46,2.2,416,19.3,NA,NA,NA,NA,NA,NA,601,27.9,245,11.5,2020-21
Newton,02070000,3217,26.8,653,5.4,2217,18.3,NA,NA,NA,NA,NA,NA,4005,33,1248,10.4,2020-21
Norfolk,02080000,46,4.7,24,2.4,183,18.5,NA,NA,NA,NA,NA,NA,258,26.1,61,6.2,2020-21
Norfolk County Agricultural,09150000,2,0.3,1,0.2,137,23.3,NA,NA,NA,NA,NA,NA,212,36.1,92,15.6,2020-21
North Adams,02090000,15,1.2,11,0.9,318,25.7,NA,NA,NA,NA,NA,NA,893,72.3,814,66.6,2020-21
North Andover,02110000,506,11.2,90,2,792,17.4,NA,NA,NA,NA,NA,NA,1495,32.8,840,18.6,2020-21
North Attleborough,02120000,384,9.8,152,3.9,735,18.5,NA,NA,NA,NA,NA,NA,1395,35.1,811,20.6,2020-21
North Brookfield,02150000,7,1.4,5,1,121,23.9,NA,NA,NA,NA,NA,NA,251,49.5,178,35.4,2020-21
North Middlesex,07350000,70,2.4,40,1.4,658,22.4,NA,NA,NA,NA,NA,NA,1148,39,640,22.1,2020-21
North Reading,02170000,31,1.3,12,0.5,422,18.1,NA,NA,NA,NA,NA,NA,583,25,219,9.5,2020-21
Northampton,02100000,240,9.3,111,4.3,536,20.6,NA,NA,NA,NA,NA,NA,1018,39,706,27.4,2020-21
Northampton-Smith Vocational Agricultural,04060000,23,4.4,18,3.4,215,40.7,NA,NA,NA,NA,NA,NA,312,59.1,187,35.4,2020-21
Northboro-Southboro,07300000,185,13.7,18,1.3,208,15.2,NA,NA,NA,NA,NA,NA,324,23.8,125,9.2,2020-21
Northborough,02130000,297,19.4,96,6.3,305,19.7,NA,NA,NA,NA,NA,NA,547,35.3,221,14.5,2020-21
Northbridge,02140000,91,4.7,48,2.5,358,18.4,NA,NA,NA,NA,NA,NA,884,45.4,653,33.9,2020-21
Northeast Metropolitan Regional Vocational Technical,08530000,240,18.7,64,5,327,25.5,NA,NA,NA,NA,NA,NA,773,60.3,522,40.7,2020-21
Northern Berkshire Regional Vocational Technical,08510000,0,0,0,0,79,15.6,NA,NA,NA,NA,NA,NA,234,46.2,195,38.5,2020-21
Norton,02180000,62,2.6,45,1.9,522,21.8,NA,NA,NA,NA,NA,NA,900,37.5,525,22.3,2020-21
Norwell,02190000,31,1.4,4,0.2,349,15.8,NA,NA,NA,NA,NA,NA,414,18.8,97,4.4,2020-21
Norwood,02200000,915,27,434,12.8,753,21.8,NA,NA,NA,NA,NA,NA,1720,49.9,996,29.4,2020-21
Oak Bluffs,02210000,117,28.3,83,20,93,22.5,NA,NA,NA,NA,NA,NA,234,56.5,129,31.2,2020-21
Old Colony Regional Vocational Technical,08550000,0,0,0,0,131,23.3,NA,NA,NA,NA,NA,NA,207,36.8,106,18.8,2020-21
Old Rochester,07400000,16,1.4,1,0.1,141,12.5,NA,NA,NA,NA,NA,NA,272,24.1,173,15.3,2020-21
Old Sturbridge Academy Charter Public School (District),35150000,15,5.4,10,3.6,56,20,NA,NA,NA,NA,NA,NA,128,45.7,83,29.6,2020-21
Orange,02230000,6,1.3,5,1.1,138,29.4,NA,NA,NA,NA,NA,NA,343,73,297,63.9,2020-21
Orleans,02240000,26,14.9,15,8.6,34,19.3,NA,NA,NA,NA,NA,NA,78,44.3,51,29.1,2020-21
Oxford,02260000,14,1,5,0.3,257,17.4,NA,NA,NA,NA,NA,NA,674,45.6,535,36.7,2020-21
Palmer,02270000,67,5.6,48,4,220,18.3,NA,NA,NA,NA,NA,NA,703,58.5,604,50.8,2020-21
Pathfinder Regional Vocational Technical,08600000,1,0.2,1,0.2,164,26.9,NA,NA,NA,NA,NA,NA,332,54.4,233,38.2,2020-21
Paulo Freire Social Justice Charter School (District),35010000,74,28.1,17,6.5,68,25.9,NA,NA,NA,NA,NA,NA,230,87.5,221,84,2020-21
Peabody,02290000,871,15.1,536,9.3,1168,19.9,NA,NA,NA,NA,NA,NA,3064,52.1,2159,37.4,2020-21
Pelham,02300000,11,10.3,2,1.9,23,21.5,NA,NA,NA,NA,NA,NA,34,31.8,15,14,2020-21
Pembroke,02310000,49,1.9,36,1.4,399,15.2,NA,NA,NA,NA,NA,NA,718,27.3,386,14.9,2020-21
Pentucket,07450000,17,0.8,8,0.4,481,21.3,NA,NA,NA,NA,NA,NA,663,29.4,290,13,2020-21
Petersham,02340000,2,1.6,2,1.6,27,21.8,NA,NA,NA,NA,NA,NA,58,46.8,37,30.1,2020-21
Phoenix Academy Public Charter High School Lawrence (District),35180000,102,64.2,52,32.7,37,23.3,NA,NA,NA,NA,NA,NA,149,93.7,129,81.1,2020-21
Phoenix Academy Public Charter High School Springfield (District),35080000,62,29.8,50,24,60,28.8,NA,NA,NA,NA,NA,NA,191,91.8,184,88.5,2020-21
Phoenix Charter Academy (District),04930000,179,81,141,63.8,25,11.3,NA,NA,NA,NA,NA,NA,204,92.3,120,54.3,2020-21
Pioneer Charter School of Science (District),04940000,520,65.5,138,17.4,71,8.9,NA,NA,NA,NA,NA,NA,520,65.5,336,42.3,2020-21
Pioneer Charter School of Science II (PCSS-II) (District),35060000,179,48.4,75,20.3,48,13,NA,NA,NA,NA,NA,NA,221,59.7,114,30.8,2020-21
Pioneer Valley,07500000,7,1.1,1,0.2,140,22,NA,NA,NA,NA,NA,NA,272,42.8,182,28.8,2020-21
Pioneer Valley Chinese Immersion Charter (District),04970000,126,22.5,17,3,60,10.7,NA,NA,NA,NA,NA,NA,187,33.4,131,23.4,2020-21
Pioneer Valley Performing Arts Charter Public (District),04790000,0,0,0,0,84,21.5,NA,NA,NA,NA,NA,NA,174,44.5,129,33,2020-21
Pittsfield,02360000,433,8.6,244,4.9,1123,22.2,NA,NA,NA,NA,NA,NA,3364,66.4,2936,58.6,2020-21
Plainville,02380000,40,6.4,27,4.3,122,19.3,NA,NA,NA,NA,NA,NA,240,38,137,22,2020-21
Plymouth,02390000,356,5,199,2.8,1429,20,NA,NA,NA,NA,NA,NA,2865,40,1910,27,2020-21
Plympton,02400000,2,1,1,0.5,37,17.4,NA,NA,NA,NA,NA,NA,65,30.5,33,15.8,2020-21
Prospect Hill Academy Charter (District),04870000,488,44.1,160,14.5,157,14.2,NA,NA,NA,NA,NA,NA,766,69.2,588,53.1,2020-21
Provincetown,02420000,32,24.1,28,21.1,24,18,NA,NA,NA,NA,NA,NA,83,62.4,55,41.4,2020-21
Quabbin,07530000,28,1.3,10,0.5,406,19.1,NA,NA,NA,NA,NA,NA,876,41.1,649,31,2020-21
Quaboag Regional,07780000,32,2.8,16,1.4,218,18.6,NA,NA,NA,NA,NA,NA,598,51.1,487,41.9,2020-21
Quincy,02430000,4239,44.7,1486,15.7,1897,19.7,NA,NA,NA,NA,NA,NA,5914,61.4,3693,39,2020-21
Ralph C Mahar,07550000,15,2.4,3,0.5,161,25.2,NA,NA,NA,NA,NA,NA,362,56.7,290,46.8,2020-21
Randolph,02440000,988,37.1,429,16.1,603,22.3,NA,NA,NA,NA,NA,NA,1946,71.8,1437,54,2020-21
Reading,02460000,98,2.5,43,1.1,711,17.8,NA,NA,NA,NA,NA,NA,984,24.6,353,8.9,2020-21
Revere,02480000,4917,68.6,1638,22.9,1245,17,NA,NA,NA,NA,NA,NA,5337,72.9,4019,56.1,2020-21
Richmond,02490000,2,1.3,0,0,25,16.4,NA,NA,NA,NA,NA,NA,55,36.2,40,26.3,2020-21
Rising Tide Charter Public (District),04830000,14,2.1,3,0.5,132,19.8,NA,NA,NA,NA,NA,NA,214,32.1,109,16.4,2020-21
River Valley Charter (District),04820000,2,0.7,0,0,46,16,NA,NA,NA,NA,NA,NA,64,22.2,23,8,2020-21
Rochester,02500000,2,0.4,2,0.4,92,19.1,NA,NA,NA,NA,NA,NA,157,32.6,88,18.5,2020-21
Rockland,02510000,319,14.6,174,8,411,18.6,NA,NA,NA,NA,NA,NA,1155,52.3,903,41.4,2020-21
Rockport,02520000,10,1.3,5,0.7,171,22,NA,NA,NA,NA,NA,NA,292,37.5,158,20.7,2020-21
Rowe,02530000,0,0,0,0,21,33.3,NA,NA,NA,NA,NA,NA,37,58.7,24,38.1,2020-21
Roxbury Preparatory Charter (District),04840000,623,39,323,20.2,237,14.8,NA,NA,NA,NA,NA,NA,1302,81.6,1110,69.5,2020-21
Sabis International Charter (District),04410000,84,5.4,63,4,238,15.3,NA,NA,NA,NA,NA,NA,898,57.7,729,46.8,2020-21
Salem,02580000,1204,32.2,513,13.7,866,22.9,NA,NA,NA,NA,NA,NA,2551,67.4,2055,55,2020-21
Salem Academy Charter (District),04850000,129,26.1,17,3.4,87,17.6,NA,NA,NA,NA,NA,NA,257,51.9,190,38.4,2020-21
Sandwich,02610000,47,2,21,0.9,458,19.4,NA,NA,NA,NA,NA,NA,805,34.1,465,20,2020-21
Saugus,02620000,474,20.6,145,6.3,433,18.6,NA,NA,NA,NA,NA,NA,1203,51.7,846,36.8,2020-21
Savoy,02630000,0,0,0,0,9,20.5,NA,NA,NA,NA,NA,NA,23,52.3,19,43.2,2020-21
Scituate,02640000,66,2.3,11,0.4,418,14.5,NA,NA,NA,NA,NA,NA,671,23.2,316,11.1,2020-21
Seekonk,02650000,154,7.5,56,2.7,349,16.8,NA,NA,NA,NA,NA,NA,637,30.7,313,15.3,2020-21
Sharon,02660000,932,26.7,110,3.1,510,14.4,NA,NA,NA,NA,NA,NA,951,26.9,342,9.8,2020-21
Shawsheen Valley Regional Vocational Technical,08710000,17,1.3,1,0.1,389,29.7,NA,NA,NA,NA,NA,NA,521,39.8,210,16.1,2020-21
Sherborn,02690000,30,7.7,12,3.1,55,14.1,NA,NA,NA,NA,NA,NA,81,20.7,18,4.6,2020-21
Shrewsbury,02710000,2157,36.1,160,2.7,864,14.3,NA,NA,NA,NA,NA,NA,1803,29.9,815,13.6,2020-21
Shutesbury,02720000,1,0.9,0,0,18,16.1,NA,NA,NA,NA,NA,NA,46,41.1,40,35.7,2020-21
Silver Lake,07600000,28,1.6,15,0.9,288,17,NA,NA,NA,NA,NA,NA,523,30.8,317,18.7,2020-21
Sizer School: A North Central Charter Essential (District),04740000,11,3,3,0.8,99,27,NA,NA,NA,NA,NA,NA,206,56.3,153,41.8,2020-21
Somerset,02730000,51,3.2,19,1.2,302,18.6,NA,NA,NA,NA,NA,NA,629,38.7,429,26.7,2020-21
Somerset Berkley Regional School District,07630000,13,1.3,1,0.1,182,17.7,NA,NA,NA,NA,NA,NA,307,29.8,179,17.8,2020-21
Somerville,02740000,2261,48.2,860,18.3,925,19.5,NA,NA,NA,NA,NA,NA,2842,59.8,2099,44.7,2020-21
South Hadley,02780000,136,7.7,76,4.3,368,20.6,NA,NA,NA,NA,NA,NA,766,42.9,524,29.7,2020-21
South Middlesex Regional Vocational Technical,08290000,326,39.9,149,18.2,324,39.7,NA,NA,NA,NA,NA,NA,632,77.4,418,51.2,2020-21
South Shore Charter Public (District),04880000,384,38.1,68,6.7,193,19.1,NA,NA,NA,NA,NA,NA,536,53.1,290,28.7,2020-21
South Shore Regional Vocational Technical,08730000,12,1.9,5,0.8,175,27.1,NA,NA,NA,NA,NA,NA,287,44.4,154,23.8,2020-21
Southampton,02750000,9,2,8,1.8,99,22,NA,NA,NA,NA,NA,NA,160,35.6,74,16.5,2020-21
Southborough,02760000,192,15.8,84,6.9,186,15.1,NA,NA,NA,NA,NA,NA,343,27.9,87,7.2,2020-21
Southbridge,02770000,658,35.3,370,19.8,407,21.4,NA,NA,NA,NA,NA,NA,1616,84.8,1440,77.2,2020-21
Southeastern Regional Vocational Technical,08720000,320,21,56,3.7,211,13.8,NA,NA,NA,NA,NA,NA,782,51.2,589,38.6,2020-21
Southern Berkshire,07650000,33,5.1,16,2.5,103,15.8,NA,NA,NA,NA,NA,NA,299,46,229,35.5,2020-21
Southern Worcester County Regional Vocational Technical,08760000,38,3.2,10,0.9,161,13.7,NA,NA,NA,NA,NA,NA,412,35.2,303,25.9,2020-21
Southwick-Tolland-Granville Regional School District,07660000,81,5.8,52,3.7,240,17.2,NA,NA,NA,NA,NA,NA,541,38.7,380,27.3,2020-21
Spencer-E Brookfield,07670000,81,6.1,49,3.7,326,23.9,NA,NA,NA,NA,NA,NA,763,55.9,585,44,2020-21
Springfield,02810000,7231,29.8,3946,16.3,6031,24.7,NA,NA,NA,NA,NA,NA,21151,86.5,19817,81.8,2020-21
Springfield Preparatory Charter School (District),35100000,100,26.5,64,16.9,73,19.3,NA,NA,NA,NA,NA,NA,300,79.4,264,69.8,2020-21
Stoneham,02840000,281,12.5,78,3.5,464,20.3,NA,NA,NA,NA,NA,NA,822,36,434,19.3,2020-21
Stoughton,02850000,623,18.4,246,7.3,583,17,NA,NA,NA,NA,NA,NA,1750,51,1304,38.5,2020-21
Sturbridge,02870000,30,3.8,30,3.8,113,14.2,NA,NA,NA,NA,NA,NA,239,30,143,18.1,2020-21
Sturgis Charter Public (District),04890000,84,9.8,8,0.9,117,13.7,NA,NA,NA,NA,NA,NA,233,27.3,132,15.5,2020-21
Sudbury,02880000,193,7.7,56,2.2,448,17.7,NA,NA,NA,NA,NA,NA,624,24.6,157,6.2,2020-21
Sunderland,02890000,27,14.7,19,10.3,39,21.2,NA,NA,NA,NA,NA,NA,95,51.6,68,37,2020-21
Sutton,02900000,37,2.9,26,2,234,18.1,NA,NA,NA,NA,NA,NA,390,30.1,194,15.2,2020-21
Swampscott,02910000,328,15.4,130,6.1,379,17.5,NA,NA,NA,NA,NA,NA,776,35.9,397,18.6,2020-21
Swansea,02920000,39,1.9,8,0.4,259,12.8,NA,NA,NA,NA,NA,NA,631,31.1,464,23,2020-21
Tantasqua,07700000,28,1.6,13,0.7,220,12.3,NA,NA,NA,NA,NA,NA,560,31.4,408,23,2020-21
Taunton,02930000,883,11.4,436,5.6,1561,19.9,NA,NA,NA,NA,NA,NA,4687,59.7,3914,50.6,2020-21
TEC Connections Academy Commonwealth Virtual School District,39020000,117,4.7,28,1.1,449,17.9,NA,NA,NA,NA,NA,NA,1333,53,1099,43.7,2020-21
Tewksbury,02950000,211,6.6,58,1.8,587,18.1,NA,NA,NA,NA,NA,NA,1080,33.3,566,17.8,2020-21
Tisbury,02960000,135,46.7,81,28,50,17.3,NA,NA,NA,NA,NA,NA,184,63.7,122,42.2,2020-21
Topsfield,02980000,5,0.9,1,0.2,103,17.5,NA,NA,NA,NA,NA,NA,123,20.9,25,4.3,2020-21
Tri-County Regional Vocational Technical,08780000,1,0.1,0,0,301,31.6,NA,NA,NA,NA,NA,NA,430,45.1,190,19.9,2020-21
Triton,07730000,80,3.7,23,1.1,384,17.4,NA,NA,NA,NA,NA,NA,827,37.4,546,25.1,2020-21
Truro,03000000,1,0.9,1,0.9,20,17.4,NA,NA,NA,NA,NA,NA,53,46.1,35,31,2020-21
Tyngsborough,03010000,147,9.4,65,4.2,284,18,NA,NA,NA,NA,NA,NA,551,34.8,290,18.6,2020-21
UP Academy Charter School of Boston (District),04800000,176,50.4,85,24.4,96,27.5,NA,NA,NA,NA,NA,NA,315,90.3,276,79.1,2020-21
UP Academy Charter School of Dorchester (District),35050000,324,47.3,231,33.7,102,14.9,NA,NA,NA,NA,NA,NA,600,87.6,510,74.5,2020-21
Up-Island Regional,07740000,40,10.1,20,5,77,19.3,NA,NA,NA,NA,NA,NA,158,39.7,95,23.9,2020-21
Upper Cape Cod Regional Vocational Technical,08790000,0,0,0,0,182,25.2,NA,NA,NA,NA,NA,NA,355,49.2,236,32.7,2020-21
Uxbridge,03040000,82,5,36,2.2,291,17.6,NA,NA,NA,NA,NA,NA,615,37.1,411,25.1,2020-21
Veritas Preparatory Charter School (District),04980000,65,15.5,19,4.5,84,20,NA,NA,NA,NA,NA,NA,351,83.8,325,77.6,2020-21
Wachusett,07750000,269,4.1,110,1.7,1013,15.2,NA,NA,NA,NA,NA,NA,1852,27.9,909,13.8,2020-21
Wakefield,03050000,201,6.1,81,2.4,549,16.5,NA,NA,NA,NA,NA,NA,953,28.6,455,13.8,2020-21
Wales,03060000,1,0.8,1,0.8,30,24.2,NA,NA,NA,NA,NA,NA,68,54.8,54,43.5,2020-21
Walpole,03070000,387,10.6,127,3.5,518,14,NA,NA,NA,NA,NA,NA,1000,27,480,13.1,2020-21
Waltham,03080000,2823,51.3,1242,22.6,904,16.3,NA,NA,NA,NA,NA,NA,3212,57.7,2241,40.7,2020-21
Ware,03090000,29,2.5,16,1.4,255,22.1,NA,NA,NA,NA,NA,NA,735,63.8,654,57.4,2020-21
Wareham,03100000,54,2.7,28,1.4,506,25,NA,NA,NA,NA,NA,NA,1316,65,1143,57.5,2020-21
Watertown,03140000,987,39.1,358,14.2,509,19.8,NA,NA,NA,NA,NA,NA,1298,50.4,824,32.6,2020-21
Wayland,03150000,353,13.1,94,3.5,491,17.9,NA,NA,NA,NA,NA,NA,733,26.7,177,6.6,2020-21
Webster,03160000,273,16.2,182,10.8,391,22.8,NA,NA,NA,NA,NA,NA,1224,71.4,1049,62.4,2020-21
Wellesley,03170000,353,8,85,1.9,768,17.1,NA,NA,NA,NA,NA,NA,1139,25.4,308,6.9,2020-21
Wellfleet,03180000,2,1.9,1,1,17,16.3,NA,NA,NA,NA,NA,NA,35,33.7,28,27.2,2020-21
West Boylston,03220000,65,7.3,37,4.2,160,17.8,NA,NA,NA,NA,NA,NA,345,38.4,221,24.9,2020-21
West Bridgewater,03230000,35,2.5,20,1.5,147,10.6,NA,NA,NA,NA,NA,NA,385,27.8,267,19.4,2020-21
West Springfield,03320000,1176,30.1,387,9.9,732,18.5,NA,NA,NA,NA,NA,NA,2369,59.9,1980,50.6,2020-21
Westborough,03210000,1209,31.6,435,11.4,614,16,NA,NA,NA,NA,NA,NA,1448,37.6,480,12.5,2020-21
Westfield,03250000,607,12.3,253,5.1,1018,20.4,NA,NA,NA,NA,NA,NA,2633,52.9,2086,42.3,2020-21
Westford,03260000,601,12.7,80,1.7,740,15.5,NA,NA,NA,NA,NA,NA,1144,24,342,7.3,2020-21
Westhampton,03270000,0,0,0,0,24,23.1,NA,NA,NA,NA,NA,NA,42,40.4,26,25,2020-21
Weston,03300000,174,9.1,81,4.2,329,17,NA,NA,NA,NA,NA,NA,501,25.9,117,6.1,2020-21
Westport,03310000,33,2.4,17,1.3,254,18.6,NA,NA,NA,NA,NA,NA,545,39.9,372,27.5,2020-21
Westwood,03350000,173,5.9,25,0.8,544,18.3,NA,NA,NA,NA,NA,NA,710,23.9,182,6.2,2020-21
Weymouth,03360000,803,14.4,308,5.5,1196,21.1,NA,NA,NA,NA,NA,NA,2776,48.9,1956,35,2020-21
Whately,03370000,3,2.6,3,2.6,12,10.3,NA,NA,NA,NA,NA,NA,32,27.6,22,19,2020-21
Whitman-Hanson,07800000,125,3.5,67,1.9,572,15.8,NA,NA,NA,NA,NA,NA,1233,34,807,22.5,2020-21
Whittier Regional Vocational Technical,08850000,93,7.4,16,1.3,238,19.1,NA,NA,NA,NA,NA,NA,620,49.6,430,34.4,2020-21
Williamsburg,03400000,2,1.7,1,0.8,23,19,NA,NA,NA,NA,NA,NA,47,38.8,34,28.6,2020-21
Wilmington,03420000,94,3.3,22,0.8,489,16.9,NA,NA,NA,NA,NA,NA,760,26.3,336,11.9,2020-21
Winchendon,03430000,26,2.2,10,0.8,264,22,NA,NA,NA,NA,NA,NA,698,58.2,585,49.7,2020-21
Winchester,03440000,869,19.3,135,3,744,16.4,NA,NA,NA,NA,NA,NA,1146,25.2,256,5.7,2020-21
Winthrop,03460000,404,21.7,136,7.3,285,15.2,NA,NA,NA,NA,NA,NA,864,46,595,31.9,2020-21
Woburn,03470000,887,20.7,343,8,764,17.6,NA,NA,NA,NA,NA,NA,2042,47,1377,32.2,2020-21
Worcester,03480000,14083,58.7,7249,30.2,5190,21.2,NA,NA,NA,NA,NA,NA,19741,80.6,15425,64.3,2020-21
Worthington,03490000,0,0,0,0,15,23.8,NA,NA,NA,NA,NA,NA,32,50.8,23,36.5,2020-21
Wrentham,03500000,30,3.5,18,2.1,163,18.9,NA,NA,NA,NA,NA,NA,233,27,89,10.3,2020-21
State Totals,00000000,213256,23.4,95286,10.5,172379,18.7,NA,NA,NA,NA,NA,NA,470030,51,333843,36.6,2020-21
Abby Kelley Foster Charter Public (District),04450000,965,67.7,221,15.5,189,13.3,982,68.9,NA,NA,NA,NA,1101,77.2,NA,NA,2021-22
Abington,00010000,330,15.3,195,9.1,383,17.5,847,39.3,NA,NA,NA,NA,1069,48.8,NA,NA,2021-22
Academy Of the Pacific Rim Charter Public (District),04120000,160,31.4,46,9,133,26.1,327,64.1,NA,NA,NA,NA,384,75.3,NA,NA,2021-22
Acton-Boxborough,06000000,1095,21.1,256,4.9,775,14.7,566,10.9,NA,NA,NA,NA,1513,28.8,NA,NA,2021-22
Acushnet,00030000,14,1.5,4,0.4,136,14.4,346,37,NA,NA,NA,NA,431,45.7,NA,NA,2021-22
Advanced Math and Science Academy Charter (District),04300000,233,24.1,26,2.7,41,4.2,142,14.7,NA,NA,NA,NA,248,25.7,NA,NA,2021-22
Agawam,00050000,471,13.6,171,4.9,596,17,1522,43.9,NA,NA,NA,NA,1889,54,NA,NA,2021-22
Alma del Mar Charter School (District),04090000,438,46.4,309,32.7,156,16.5,721,76.4,NA,NA,NA,NA,817,86.5,NA,NA,2021-22
Amesbury,00070000,62,3.5,29,1.6,423,23.1,603,33.6,NA,NA,NA,NA,832,45.4,NA,NA,2021-22
Amherst,00080000,279,26.5,119,11.3,242,22.9,406,38.6,NA,NA,NA,NA,547,51.8,NA,NA,2021-22
Amherst-Pelham,06050000,247,19.4,102,8,280,21.9,416,32.8,NA,NA,NA,NA,573,44.9,NA,NA,2021-22
Andover,00090000,908,16.6,161,3,1100,19.9,673,12.3,NA,NA,NA,NA,1779,32.3,NA,NA,2021-22
Argosy Collegiate Charter School (District),35090000,147,26,114,20.1,146,25.8,447,79,NA,NA,NA,NA,490,86.6,NA,NA,2021-22
Arlington,00100000,703,12,247,4.2,944,15.9,675,11.5,NA,NA,NA,NA,1658,27.9,NA,NA,2021-22
Ashburnham-Westminster,06100000,108,4.8,42,1.8,433,18.9,593,26.1,NA,NA,NA,NA,886,38.7,NA,NA,2021-22
Ashland,00140000,889,31,219,7.6,536,18.5,651,22.7,NA,NA,NA,NA,1136,39.2,NA,NA,2021-22
Assabet Valley Regional Vocational Technical,08010000,235,20.6,54,4.7,288,25.3,502,44.1,NA,NA,NA,NA,707,62.1,NA,NA,2021-22
Athol-Royalston,06150000,92,6,40,2.6,383,24.4,1022,66.4,NA,NA,NA,NA,1141,72.6,NA,NA,2021-22
Atlantis Charter (District),04910000,379,29.7,219,17.1,153,12,826,64.7,NA,NA,NA,NA,926,72.5,NA,NA,2021-22
Attleboro,00160000,871,14.8,324,5.5,1046,17.7,2494,42.5,NA,NA,NA,NA,3108,52.6,NA,NA,2021-22
Auburn,00170000,273,10.6,57,2.2,313,12.1,788,30.6,NA,NA,NA,NA,1014,39.2,NA,NA,2021-22
