district_name,district_code,first_language_not_english_number,first_language_not_english_percent,english_language_learner_number,english_language_learner_percent,students_with_disabilities_number,students_with_disabilities_percent,low_income_number,low_income_percent,free_lunch_number,free_lunch_percent,reduced_lunch_number,reduced_lunch_percent,high_needs_number,high_needs_number_2,economically_disadvantaged_number,economically_disadvantaged_percent,year
Plympton,02400000,0,0,0,0,37,18.2,NA,NA,NA,NA,NA,NA,59,29.1,27,13.6,2018-19
Prospect Hill Academy Charter (District),04870000,530,47.1,157,14,168,14.9,NA,NA,NA,NA,NA,NA,655,58.2,440,39.1,2018-19
Provincetown,02420000,29,23.2,24,19.2,24,19,NA,NA,NA,NA,NA,NA,74,58.7,39,31.2,2018-19
Quabbin,07530000,18,0.8,4,0.2,448,20.6,NA,NA,NA,NA,NA,NA,791,36.4,494,23.3,2018-19
Quaboag Regional,07780000,33,2.5,12,0.9,226,17.2,NA,NA,NA,NA,NA,NA,600,45.7,465,35.7,2018-19
Quincy,02430000,3859,40.9,1463,15.5,1771,18.5,NA,NA,NA,NA,NA,NA,5641,58.9,3255,34.5,2018-19
Ralph C Mahar,07550000,15,2.1,6,0.8,140,18.6,NA,NA,NA,NA,NA,NA,351,46.7,278,38,2018-19
Randolph,02440000,1014,37,419,15.3,655,23.5,NA,NA,NA,NA,NA,NA,1909,68.3,1221,44.6,2018-19
Reading,02460000,90,2.1,42,1,735,17.2,NA,NA,NA,NA,NA,NA,1003,23.5,349,8.3,2018-19
Revere,02480000,4867,64.5,1702,22.6,1239,16.1,NA,NA,NA,NA,NA,NA,5289,68.7,3553,47.1,2018-19
Richmond,02490000,2,1.1,0,0,12,6.7,NA,NA,NA,NA,NA,NA,46,25.7,36,20.1,2018-19
Rising Tide Charter Public (District),04830000,4,0.6,0,0,97,14.8,NA,NA,NA,NA,NA,NA,150,22.9,62,9.5,2018-19
River Valley Charter (District),04820000,5,1.7,0,0,48,16.7,NA,NA,NA,NA,NA,NA,69,24,25,8.7,2018-19
Rochester,02500000,3,0.6,3,0.6,96,18.7,NA,NA,NA,NA,NA,NA,149,29,72,14.1,2018-19
Rockland,02510000,231,10.4,139,6.2,380,16.8,NA,NA,NA,NA,NA,NA,1024,45.3,723,32.5,2018-19
Rockport,02520000,15,1.7,12,1.4,169,18.6,NA,NA,NA,NA,NA,NA,313,34.5,172,19.4,2018-19
Rowe,02530000,0,0,0,0,16,24.2,NA,NA,NA,NA,NA,NA,36,54.5,25,37.9,2018-19
Roxbury Preparatory Charter (District),04840000,315,20.8,315,20.8,233,15.3,NA,NA,NA,NA,NA,NA,1095,72.1,847,55.8,2018-19
Sabis International Charter (District),04410000,76,4.8,76,4.8,203,12.9,NA,NA,NA,NA,NA,NA,791,50.2,613,38.9,2018-19
Salem,02580000,1100,29.6,463,12.5,893,23.6,NA,NA,NA,NA,NA,NA,2386,62.9,1793,48.2,2018-19
Salem Academy Charter (District),04850000,110,22.4,23,4.7,66,13.4,NA,NA,NA,NA,NA,NA,219,44.6,148,30.1,2018-19
Sandwich,02610000,46,1.8,29,1.2,452,17.8,NA,NA,NA,NA,NA,NA,765,30.1,399,15.9,2018-19
Saugus,02620000,487,18.7,163,6.2,446,16.9,NA,NA,NA,NA,NA,NA,1232,46.6,774,29.7,2018-19
Savoy,02630000,0,0,0,0,12,19,NA,NA,NA,NA,NA,NA,39,61.9,32,50.8,2018-19
Scituate,02640000,58,1.9,17,0.6,429,14.2,NA,NA,NA,NA,NA,NA,673,22.2,311,10.4,2018-19
Seekonk,02650000,147,7,68,3.3,364,17.2,NA,NA,NA,NA,NA,NA,656,30.9,288,13.8,2018-19
Seven Hills Charter Public (District),04860000,325,48.5,176,26.3,95,14.2,NA,NA,NA,NA,NA,NA,526,78.5,403,60.1,2018-19
Sharon,02660000,917,25.6,151,4.2,514,14.2,NA,NA,NA,NA,NA,NA,947,26.1,284,7.9,2018-19
Shawsheen Valley Regional Vocational Technical,08710000,12,0.9,1,0.1,321,24.8,NA,NA,NA,NA,NA,NA,455,35.2,193,14.9,2018-19
Sherborn,02690000,20,4.8,10,2.4,65,15.6,NA,NA,NA,NA,NA,NA,89,21.4,20,4.8,2018-19
